Ano,Mês,Dia,Data,Tema,Ação,Tipo,Explicação,Situação,Classificação,Link,,
,,,22/10/2021,Agricultura,"Institui o Plano Setorial para Adaptação à Mudança do Clima e Baixa Emissão de Carbono na Agropecuária, com vistas ao Desenvolvimento Sustentável - ABC+ para a década 2020- 2030.",Portaria,"PORTARIA MAPA Nº 323, DE 21 DE OUTUBRO DE 2021","Institui o Plano Setorial para Adaptação à Mudança do Clima e Baixa Emissão de Carbono na Agropecuária, com vistas ao Desenvolvimento Sustentável (2020-2030) - ABC+. Tem como compromissos, até 2030: I - ampliar em 30 (trinta) milhões de hectares as áreas com adoção de práticas para Recuperação de Pastagens Degradadas (PRPD); II - ampliar em 12,58 (doze vírgula cinquenta e oito) milhões de hectares a área com adoção de Sistema de Plantio Direto; III - ampliar em 10,10 (dez vírgula dez) milhões de hectares a área com adoção de Sistemas de Integração; IV - ampliar em 4 (quatro) milhões de hectares a área com adoção de Florestas Plantadas; V - ampliar em 13 (treze) milhões de hectares a área com adoção de Bioinsumos; VI - ampliar em 3 (três) milhões de hectares a área com adoção de Sistemas Irrigados; VII - ampliar em 208,40 m3 (duzentos e oito vírgula quarenta) metros cúbicos a adoção de Manejo de Resíduos da Produção Animal; e VIII - ampliar em 5 (cinco) milhões os bovinos em Terminação Intensiva. Estabelece uma redução estimada de emissões de GEE, pelo setor agropecuário nacional, correspondente a 1.110,4 (um mil cento e dez vírgula quarenta) milhões de Mg CO2eq até o ano de 2030. Revoga a Portaria Interministerial nº 984, de 08 de outubro de 2013, do Ministério da Agricultura, Pecuária e Abastecimento e do Ministério do Desenvolvimento Agrário.",Regulação,,,
,,,22/10/2021,Terras,"Define critérios e procedimentos técnicos e administrativos para a consolidação de Projetos de Assentamento de reforma agrária, sob gestão do Incra.",Instrução Normativa,"INSTRUÇÃO NORMATIVA Nº 106, DE 18 DE OUTUBRO DE 2021","Estabelece critérios e procedimentos técnicos e administrativos para a consolidação de Projetos de Assentamento de reforma agrária, sob a gestão do Incra. Consolidação é o ato que declara que determinado Projeto de Assentamento alcançou o nível de estruturação e de desenvolvimento previsto no Programa Nacional de Reforma Agrária - PNRA. A consolidação dos Projetos de Assentamento integrantes dos Programas de Reforma Agrária dar-se-á com a concessão de créditos de instalação e a conclusão dos investimentos, bem como com a outorga do instrumento definitivo de titulação. Considera-se consolidado o Projeto de Assentamento após 15 (quinze) anos de sua implantação. O Incra poderá firmar acordos de cooperação técnica, convênios ou outros instrumentos congêneres com os estados, o Distrito Federal e os municípios para viabilizar as atividades previstas nesta Instrução Normativa, inclusive para implantação de obras de infraestrutura, visando à consolidação dos Projetos de Assentamento. Revoga os artigos 88 e 89 da Instrução Normativa nº 99, de 30 de dezembro de 2019. Entra em vigor em 03 de novembro de 2021.",Desregulação,,,
,,,22/10/2021,Terras,"Define critérios e procedimentos administrativos para destinação de bens públicos imóveis, existentes em Projetos de Assentamento de reforma agrária, sob o domínio do Incra ou da União.",Instrução Normativa,"INSTRUÇÃO NORMATIVA Nº 107, DE 18 DE OUTUBRO DE 2021","Estabelece, no âmbito do Incra, os critérios e os procedimentos para destinação provisória e definitiva de bens públicos imóveis, existentes em Projetos de Assentamento de reforma agrária ou deles remanescentes, sob o domínio do Incra ou da União. Ainda, estabelece que compete às Superintendências Regionais adotar os procedimentos de instrução processual e elaboração dos documentos com vistas a atender aos pedidos de destinação de bens públicos imóveis, sendo que para os Projetos de Assentamento com área que abranja mais de uma Superintendência Regional, será daquela que criou o Projeto de Assentamento de reforma agrária - PA. A autorização e a cessão de uso serão expedidas preferencialmente sem prazo determinado, podendo ser revogadas a qualquer momento. A autorização de uso, a cessão de uso e a concessão de uso de bem público poderão ser realizadas mesmo que as áreas dos imóveis ainda não estejam registradas em nome do Incra ou da União. Revoga a Norma de Execução nº 33, de 14 de julho de 2003.",Desregulação,,,
,,,22/10/2021,Poluição,"Altera a Resolução nº 382/2006, que estabelece os limites máximos de emissão de poluentes atmosféricos para fontes fixas.",Resolução,"RESOLUÇÃO CONAMA/MMA Nº 501, DE 21 DE OUTUBRO DE 2021","Aprova a alteração do Anexo V da Res. CONAMA 382/2006, referente aos limites de emissão de poluentes atmosféricos provenientes de turbinas a gás para geração de energia elétrica. Pela proposta aprovada, não se aplicam os limites às plataformas totalmente eletrificadas, com geração elétrica por turbogerador inferior a 100 MW cada e localizadas além do mar territorial.",Flexibilização,,,
,,,21/10/2021,Desastres,Reconhecer a situação de emergência na área descrita no Formulário de Informações do Desastre - FIDE.,Portaria,"PORTARIA Nº 2.640, DE 19 DE OUTUBRO DE 2021","Reconhece a situação de emergência por (i) Estiagem - Umburanas/BA, Sobradinho/BA, Nova Fátima/BA, Planalto/BA, Anagé/BA, Ribeira do Pombal/BA, Quijingue/BA, Sento Sé/BA, Caraíbas/BA, Palhano/CE, Tejuçuoca/CE, Serra Caiada/RN, Fernando Pedroza/RN, Pinhão/SE; (ii) Seca - Tamboril/CE, Pedra Branca/CE, Dom Inocêncio/PI; (iii) Vendaval - Juína/MT; (iv) Incêndio Florestal - Itaporanga/PB; (vi) Granizo - Sant`Ana do Livramento/RS.",Resposta,,,
,,,21/10/2021,Desastres,Reconhece situação de emergência em municípios do Estado de Pernambuco/PE.,Portaria,"PORTARIA Nº 2.644, DE 19 DE OUTUBRO DE 2021",Reconhece a situação de emergência em decorrência de ESTIAGEM nos seguintes municípios: Afogados da Ingazeira/PE; Afrânio/PE; Araripina/PE; Arcoverde/PE; Belém do São Francisco/PE; Betânia/PE; Bodocó/PE; Brejinho/PE; Cabrobó/PE; Calumbi/PE; Carnaíba/PE; Carnaubeira da Penha/PE; Cedro/PE; Custódia/PE; Dormentes/PE; Exu/PE; Flores/PE; Floresta/PE; Granito/PE; Ibimirim/PE; Iguaracy/PE; Inajá/PE; Ingazeira/PE; Ipubi/PE; Itacuruba/PE; Itapetim/PE; Jatobá/PE; Lagoa Grande/PE; Manari/PE; Mirandiba/PE; Moreilândia/PE; Orocó/PE; Ouricuri/PE; Parnamirim/PE; Petrolândia/PE; Petrolina/PE; Quixaba/PE; Salgueiro/PE; Santa Cruz/PE; Santa Cruz da Baixa Verde/PE; Santa Filomena/PE; Santa Maria da Boa Vista/PE; Santa Terezinha/PE; São José do Belmonte/PE; Serra Talhada/PE; Serrita/PE; Sertânia/PE; Solidão/PE; Tabira/PE; Tacaratu/PE; Terra Nova/PE; Trindade/PE; Triunfo/PE; Tuparetama/PE; Verdejante/PE.,Resposta,,,
,,,21/10/2021,Institucional,"Altera o Decreto nº 10.141, de 28 de novembro de 2019, que institui o Comitê Nacional das Zonas Úmidas.",Decreto,"DECRETO Nº 10.842, DE 20 DE OUTUBRO DE 2021","Altera o Decreto nº 10.141, de 28 de novembro de 2019, que institui o Comitê Nacional das Zonas Úmidas, alterando a sua composição para repassar a presidência e Secretaria Executiva para a Secretaria da Amazônia e Serviços Ambientais do MMA.",Recuo,,,
,,,20/10/2021,Institucional,Divulga a listagem completa dos atos normativos inferiores a Decreto vigentes no âmbito do Ministério do Meio Ambiente e dá outras providências.,Portaria,"PORTARIA MMA Nº 457, DE 19 DE OUTUBRO DE 2021","Divulga a listagem completa dos atos normativos inferiores a Decreto que, na presente data, encontram-se vigentes no âmbito de competência do Ministério do Meio Ambiente, não sendo considerados na listagem aqueles expressamenteo revogados por outras normas, atos revogados tacitamente, atos cujos efeitos tenham se exaurido no tempo e aqueles cuja necessidade ou cujo significado não pôde ser identificado. Qualquer pessoa poderá solicitar a retificação do Anexo da Portaria mediante requerimento endereçado ao Departamento de Gestão Estratégica da Secretaria Executiva do Ministério, através da Ouvidoria do Ministério do Meio Ambiente.",Revisaço,,,
,,,20/10/2021,Florestas,Dispõe sobre os requisitos para a inclusão na lista de municípios prioritários para ações de prevenção e controle do desmatamento e na lista de municípios com desmatamento monitorado e sob controle.,Portaria,"PORTARIA MMA Nº 474, DE 19 DE OUTUBRO DE 2021","Estabelece como critérios para inclusão na lista de municípios prioritários para ações de combate ao desmatamento: I - área total de floresta desmatada no último ano, de acordo com os dados do Programa de Cálculo do Desflorestamento da Amazônia - Prodes, igual ou superior a 80 km², II - área total de floresta desmatada nos últimos três anos igual ou superior a 160 km²; e III - aumento da taxa de desmatamento em pelo menos três, dos últimos cinco anos. Ainda, estabelece como critérios para inclusão na lista de municípios com desmatamento monitorado e sob controle: I - possuir 80% (oitenta por cento) de seu território excetuadas as unidades de conservação de domínio público e terras indígenas homologadas, com imóveis rurais devidamente monitorados por meio do Cadastro Ambiental Rural - CAR, registrado no Sistema Nacional de Cadastro Rural - SICAR; e II - municípios que mantiveram desmatamento inferior a 40 km² nos últimos quatro anos. Reingressam à lista de municípios prioritários aqueles que constarem da lista de municípios monitorados e sob controle e atingirem desmatamento anual superior a 40 km² no último período de monitoramento realizado pelo Instituto Nacional de Pesquisa Espaciais - INPE (dados PRODES).",Planejamento,,,
,,,19/10/2021,Meio Ambiente,"Altera a Instrução Normativa nº 10/2020, que estabelece procedimentos do Instituto Chico Mendes de Conservação da Biodiversidade nos processos de licenciamento ambiental.",Instrução Normativa,"INSTRUÇÃO NORMATIVA Nº 9/GABIN/ICMBIO, DE 13 DE OUTUBRO DE 2021","Altera o art. 28 da INSTRUÇÃO NORMATIVA Nº 10/GABIN/ICMBIO, DE 17 DE AGOSTO DE 2020 para constar que o ICMBio serpá considerado ciente do licenciamento ambiental quando for comunicado por via postal, com aviso de recebimento, ou por outro meio que assegure a certeza da ciência do Instituto, devendo o documento de comunicação indicar as instruções de acesso às informações do licenciamento ambiental na rede mundial de computadores. os documentos a serem disponibilizados na internet são, pelo menos: (i) estudos ambientais existentes; (ii) dados cadastrais da atividade ou empreendimento (razão social e CNPJ ou nome e CPF do responsável pela atividade ou empreendimento e endereço eletrônico e para correspondência); (iii) tipo de licença ambiental (LP, LI, LO); (iv) unidades de conservação federais afetadas; (v) localização georreferenciada da atividade ou empreendimento em relação às unidades de conservação federais enquadradas nos casos previstos pelo art. 5º da Resolução Conama nº 428/2010; (vi) impactos potenciais às unidades de conservação federais; e (vii) medidas para mitigar os impactos às unidades de conservação federais. Por fim, estabelece que a comunicação deverá ocorrer antes da emissão da primeira licença prevista.",Desregulação,,,
